epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,phase
39,748.627,1.22415,4.47997,1.26821,0.57026,0.39143,0.40792,0.26904,1.31167,inf,1.2691,4.60439e-05,4.60439e-05,4.60439e-05,1
40,767.423,1.23808,4.5071,1.27407,0.57055,0.3893,0.40563,0.26643,1.31951,inf,1.27446,4.50692e-05,4.50692e-05,4.50692e-05,1
41,786.134,1.22533,4.4658,1.27128,0.57439,0.388,0.40738,0.26864,1.31683,inf,1.27111,4.40835e-05,4.40835e-05,4.40835e-05,1
42,806.164,1.2444,4.51821,1.27855,0.57462,0.38616,0.40668,0.26824,1.31355,inf,1.26938,4.30877e-05,4.30877e-05,4.30877e-05,1
43,824.923,1.24626,4.5072,1.27817,0.58358,0.379,0.40581,0.26826,1.31647,inf,1.27042,4.20828e-05,4.20828e-05,4.20828e-05,1
44,844.481,1.23455,4.48497,1.27329,0.56568,0.39044,0.40738,0.2692,1.31671,inf,1.27124,4.10697e-05,4.10697e-05,4.10697e-05,1
45,862.72,1.22193,4.4211,1.26492,0.57978,0.3825,0.40695,0.26878,1.31617,inf,1.27218,4.00495e-05,4.00495e-05,4.00495e-05,1
46,881.643,1.23144,4.43712,1.27211,0.58329,0.38276,0.40766,0.2686,1.31772,inf,1.27275,3.90231e-05,3.90231e-05,3.90231e-05,1
47,900.576,1.23419,4.46454,1.26789,0.57191,0.39316,0.40877,0.27018,1.31853,inf,1.27416,3.79917e-05,3.79917e-05,3.79917e-05,1
48,919.504,1.23042,4.42662,1.26873,0.57028,0.39012,0.40831,0.26909,1.31983,inf,1.27578,3.69561e-05,3.69561e-05,3.69561e-05,1
49,938.122,1.21542,4.40582,1.26276,0.57042,0.38896,0.4079,0.26925,1.32119,inf,1.27761,3.59174e-05,3.59174e-05,3.59174e-05,1
50,957.987,1.22261,4.40508,1.26504,0.5778,0.386,0.40737,0.26888,1.32046,inf,1.27663,3.48767e-05,3.48767e-05,3.48767e-05,1
51,976.514,1.2225,4.41884,1.26641,0.5679,0.38886,0.4064,0.26871,1.3164,inf,1.27682,3.3835e-05,3.3835e-05,3.3835e-05,1
52,996.457,1.22721,4.4525,1.27405,0.56236,0.39054,0.40571,0.26737,1.31866,inf,1.27588,3.27933e-05,3.27933e-05,3.27933e-05,1
53,1014.57,1.22678,4.41372,1.26914,0.57241,0.38749,0.40549,0.2681,1.31918,inf,1.2786,3.17526e-05,3.17526e-05,3.17526e-05,1
54,1033.07,1.21053,4.33868,1.25891,0.58708,0.37923,0.40523,0.2681,1.32137,inf,1.27888,3.07139e-05,3.07139e-05,3.07139e-05,1
55,1053.14,1.23073,4.41579,1.26987,0.57945,0.38266,0.40689,0.26875,1.32292,inf,1.27972,2.96783e-05,2.96783e-05,2.96783e-05,1
56,1071.65,1.2117,4.33202,1.25779,0.57864,0.38332,0.40558,0.2681,1.32447,inf,1.2814,2.86469e-05,2.86469e-05,2.86469e-05,1
57,1089.06,1.20888,4.36928,1.25645,0.57783,0.38743,0.40578,0.26735,1.32385,inf,1.28066,2.76205e-05,2.76205e-05,2.76205e-05,1
58,1109.79,1.22258,4.35723,1.25876,0.58056,0.38621,0.40728,0.26778,1.32222,inf,1.27919,2.66003e-05,2.66003e-05,2.66003e-05,1
59,1128.2,1.22534,4.39487,1.26775,0.58464,0.38283,0.40639,0.26768,1.32035,inf,1.27601,2.55872e-05,2.55872e-05,2.55872e-05,1
60,1147.94,1.202,4.28982,1.25173,0.57872,0.38742,0.40761,0.26856,1.32117,inf,1.27685,2.45823e-05,2.45823e-05,2.45823e-05,1
61,1164.91,1.19649,4.26595,1.24942,0.57126,0.38992,0.40876,0.26899,1.32013,inf,1.27574,2.35865e-05,2.35865e-05,2.35865e-05,1
62,1184.92,1.20931,4.32165,1.25727,0.58903,0.38449,0.40863,0.26904,1.32152,inf,1.27667,2.26008e-05,2.26008e-05,2.26008e-05,1
63,1203.55,1.20808,4.28222,1.25169,0.58499,0.38505,0.40831,0.2686,1.32262,inf,1.27825,2.16261e-05,2.16261e-05,2.16261e-05,1
64,1222.96,1.19769,4.28257,1.25295,0.5936,0.38197,0.40969,0.26897,1.32144,inf,1.27799,2.06636e-05,2.06636e-05,2.06636e-05,1
65,1240.97,1.19484,4.21573,1.24759,0.56807,0.39235,0.40825,0.26825,1.321,inf,1.27756,1.9714e-05,1.9714e-05,1.9714e-05,1
66,1260.16,1.22359,4.33698,1.26562,0.58504,0.38439,0.40787,0.2686,1.32063,inf,1.27709,1.87784e-05,1.87784e-05,1.87784e-05,1
