epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,phase
1,28.7808,1.44671,6.12546,1.41342,0.474,0.3516,0.34861,0.22165,1.40158,inf,1.3401,0.00860938,9.38e-06,9.38e-06,1
2,48.3687,1.41042,5.95388,1.39041,0.48398,0.35675,0.35064,0.22434,1.3827,inf,1.32304,0.00711943,1.94253e-05,1.94253e-05,1
3,67.3145,1.41085,5.90707,1.38811,0.54591,0.34971,0.36241,0.23334,1.36229,inf,1.3065,0.00562945,2.94512e-05,2.94512e-05,1
4,87.4779,1.39685,5.79675,1.38487,0.54004,0.36912,0.37103,0.24249,1.34113,inf,1.29207,0.00413944,3.94432e-05,3.94432e-05,1
5,104.978,1.387,5.69764,1.36889,0.55051,0.373,0.37958,0.2494,1.33307,inf,1.28273,0.00264939,4.93865e-05,4.93865e-05,1
6,123.994,1.37279,5.54862,1.36014,0.56919,0.36344,0.38433,0.25201,1.33331,inf,1.28138,0.00115927,5.92666e-05,5.92666e-05,1
7,142.846,1.36184,5.51764,1.3537,0.56759,0.36646,0.38679,0.25339,1.32626,inf,1.27809,6.64126e-05,6.64126e-05,6.64126e-05,1
8,163.247,1.36088,5.46874,1.35334,0.56752,0.37223,0.39199,0.25676,1.32129,inf,1.27636,6.62013e-05,6.62013e-05,6.62013e-05,1
9,180.424,1.35062,5.41483,1.34555,0.56434,0.37628,0.39494,0.25983,1.31664,inf,1.27228,6.59581e-05,6.59581e-05,6.59581e-05,1
10,199.443,1.33246,5.23361,1.33476,0.56823,0.37415,0.39678,0.26134,1.31472,inf,1.26901,6.56831e-05,6.56831e-05,6.56831e-05,1
11,218.617,1.33459,5.2506,1.33521,0.55876,0.38434,0.39614,0.26231,1.31503,inf,1.26818,6.53768e-05,6.53768e-05,6.53768e-05,1
12,238.26,1.32186,5.16871,1.32685,0.56038,0.38512,0.39897,0.26429,1.31326,inf,1.26558,6.50393e-05,6.50393e-05,6.50393e-05,1
13,256.929,1.31657,5.1999,1.32438,0.56546,0.38053,0.39955,0.26541,1.31502,inf,1.26849,6.4671e-05,6.4671e-05,6.4671e-05,1
14,276.211,1.31655,5.16625,1.32161,0.57156,0.38018,0.40457,0.26781,1.31567,inf,1.26799,6.42723e-05,6.42723e-05,6.42723e-05,1
15,294.771,1.30688,5.03792,1.31548,0.57563,0.38378,0.40734,0.27022,1.31124,4.94371,1.2652,6.38436e-05,6.38436e-05,6.38436e-05,1
16,312.99,1.295,5.00332,1.31042,0.57979,0.38415,0.40757,0.26918,1.31253,4.91289,1.26774,6.33852e-05,6.33852e-05,6.33852e-05,1
17,331.247,1.2971,4.98551,1.3153,0.56548,0.39088,0.40777,0.27003,1.31179,4.93055,1.26602,6.28977e-05,6.28977e-05,6.28977e-05,1
18,350.616,1.31257,5.06753,1.31908,0.57448,0.39019,0.40843,0.2704,1.31437,4.94128,1.26729,6.23815e-05,6.23815e-05,6.23815e-05,1
19,369.324,1.28764,4.96326,1.3043,0.57424,0.38751,0.40846,0.27068,1.31223,inf,1.26552,6.18371e-05,6.18371e-05,6.18371e-05,1
20,388.543,1.30262,4.96607,1.30829,0.56906,0.39078,0.41048,0.2715,1.31242,inf,1.26755,6.12651e-05,6.12651e-05,6.12651e-05,1
21,407.5,1.29387,4.89718,1.30216,0.58417,0.39348,0.41324,0.27468,1.30661,4.89886,1.26669,6.0666e-05,6.0666e-05,6.0666e-05,1
22,425.744,1.2778,4.84918,1.29311,0.58136,0.39176,0.41274,0.27361,1.31088,4.91545,1.26457,6.00405e-05,6.00405e-05,6.00405e-05,1
23,444.754,1.27834,4.84823,1.2965,0.59115,0.39099,0.41476,0.27586,1.30492,4.86743,1.26252,5.93891e-05,5.93891e-05,5.93891e-05,1
24,463.64,1.29386,4.85904,1.30925,0.58526,0.39265,0.41466,0.27529,1.30655,4.84948,1.26376,5.87124e-05,5.87124e-05,5.87124e-05,1
25,482.753,1.28017,4.8245,1.29864,0.58771,0.38536,0.41249,0.27445,1.30624,4.84602,1.2624,5.80112e-05,5.80112e-05,5.80112e-05,1
26,501.559,1.2747,4.74942,1.29379,0.5768,0.39656,0.41267,0.27464,1.30798,4.86449,1.26339,5.72862e-05,5.72862e-05,5.72862e-05,1
27,520.578,1.2765,4.776,1.29626,0.57509,0.39903,0.4134,0.27524,1.30999,4.89363,1.26557,5.6538e-05,5.6538e-05,5.6538e-05,1
28,538.951,1.26518,4.70556,1.28699,0.58021,0.39676,0.4146,0.27529,1.30918,4.8983,1.26683,5.57674e-05,5.57674e-05,5.57674e-05,1
29,558.345,1.27012,4.69255,1.28823,0.57701,0.39679,0.41323,0.27395,1.30711,4.84375,1.26381,5.49752e-05,5.49752e-05,5.49752e-05,1
30,577.339,1.26235,4.69841,1.28799,0.57905,0.39677,0.41469,0.27524,1.3037,4.82172,1.25974,5.41621e-05,5.41621e-05,5.41621e-05,1
31,596.551,1.26963,4.68931,1.29081,0.57317,0.39799,0.41323,0.27504,1.30551,4.86259,1.2618,5.33289e-05,5.33289e-05,5.33289e-05,1
32,615.403,1.25236,4.59064,1.2781,0.57887,0.3958,0.41575,0.27596,1.30864,4.8813,1.26345,5.24765e-05,5.24765e-05,5.24765e-05,1
33,633.602,1.25941,4.67092,1.28537,0.56865,0.40229,0.4158,0.27582,1.30818,4.85189,1.26412,5.16057e-05,5.16057e-05,5.16057e-05,1
34,652.764,1.25486,4.60052,1.27748,0.57461,0.39704,0.41552,0.27609,1.30873,4.86039,1.26463,5.07174e-05,5.07174e-05,5.07174e-05,1
